DAY,Division,Batch,10:30 TO 11:30,11:30 TO 12:30,12:30 TO 12:50,12:50 TO 1:50,1:50 TO 2:50,2:50 TO 3:50,3:50 TO 4:00,4:00 TO 5:00,5:00 TO 6:00
MON,A,1,AMI,EEC,RECESS,BCC - PR,BCC - PR,PCI,RECESS,CPH,Library
MON,A,2,AMI,EEC,RECESS,AMI - PR,AMI - PR,PCI,RECESS,CPH,Library
MON,A,3,AMI,EEC,RECESS,PCI - PR,PCI - PR,PCI,RECESS,CPH,Library
MON,B,1,BEC,EEC,RECESS,CPH,AMI,PCI,RECESS,PCI - TU,PCI - TU
MON,B,2,BEC,EEC,RECESS,CPH,AMI,PCI,RECESS,PCI - TU,PCI - TU
TUE,A,1,EEC,AMI,RECESS,BEC - PR,BEC - PR,BEC,RECESS,PCI - TU,PCI - TU
TUE,A,2,EEC,AMI,RECESS,PCI - PR,PCI - PR,BEC,RECESS,PCI - TU,PCI - TU
TUE,A,3,EEC,AMI,RECESS,EEC - PR,EEC - PR,BEC,RECESS,PCI - TU,PCI - TU
TUE,B,1,WPD - PR,WPD - PR,RECESS,AMI,EEC,WPD,RECESS,AMI - PR,AMI - PR
TUE,B,2,WPD - PR,WPD - PR,RECESS,AMI,EEC,WPD,RECESS,CPH - PR,CPH - PR
WED,A,1,CPH - PR,CPH - PR,RECESS,AMI,BEC,WPD,RECESS,AMI - PR,AMI - PR
WED,A,2,BCC - PR,BCC - PR,RECESS,AMI,BEC,WPD,RECESS,CPH - PR,CPH - PR
WED,A,3,BEC - PR,BEC - PR,RECESS,AMI,BEC,WPD,RECESS,BCC - PR,BCC - PR
WED,B,1,AMI,WPD,RECESS,EEC - PR,EEC - PR,EEC,RECESS,PCI - PR,PCI - PR
WED,B,2,AMI,WPD,RECESS,BCC - PR,BCC - PR,EEC,RECESS,EEC - PR,EEC - PR
THU,A,1,AMI,PCI,RECESS,EEC,BEC,WPD,RECESS,PCI - PR,PCI - PR
THU,A,2,AMI,PCI,RECESS,EEC,BEC,WPD,RECESS,EEC - PR,EEC - PR
THU,A,3,AMI,PCI,RECESS,EEC,BEC,WPD,RECESS,CPH - PR,CPH - PR
THU,B,1,BEC,PCI,RECESS,BCC - PR,BCC - PR,BEC,RECESS,CPH - PR,CPH - PR
THU,B,2,BEC,PCI,RECESS,BEC - PR,BEC - PR,BEC,RECESS,AMI - PR,AMI - PR
FRI,A,1,EEC - PR,EEC - PR,RECESS,EEC,CPH,PCI,RECESS,WPD - PR,WPD - PR
FRI,A,2,BEC - PR,BEC - PR,RECESS,EEC,CPH,PCI,RECESS,WPD - PR,WPD - PR
FRI,A,3,AMI - PR,AMI - PR,RECESS,EEC,CPH,PCI,RECESS,WPD - PR,WPD - PR
FRI,B,1,AMI,CPH,RECESS,BEC - PR,BEC - PR,PCI,RECESS,EEC,Library
FRI,B,2,AMI,CPH,RECESS,PCI - PR,PCI - PR,PCI,RECESS,EEC,Library
SAT,A,1,-,-,RECESS,-,-,-,RECESS,-,-
SAT,A,2,-,-,RECESS,-,-,-,RECESS,-,-
SAT,A,3,-,-,RECESS,-,-,-,RECESS,-,-
SAT,B,1,-,-,RECESS,-,-,-,RECESS,-,-
SAT,B,2,-,-,RECESS,-,-,-,RECESS,-,-
